Num,Ara,Eng
1,الباب,CHAPTER
2,العاشر,X
3,وفي,In 
4,كتاب,his work
5,الذيل,Edz-Dzil 
6,للعلّامة,0
7,الفقيه,the […] jurisconsult 
8,احمد بابا,Ahmed-Baba 
9,رحمه,have mercy on him
10,الله,God 
11,قال,expresses himself 
12,احمد بن عمر بن محمّد اقيت بن عمر بن على بن يحي بن كدّالة,Ahmed-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya-ben-Godâla 
13,الصنهاجيّ,the Senhadjian
14,التنبكتيّ ,the Timbuktu
15,جدّى,my grandfather
16,والد,the father 
17,الوالد,of my father
18,يعرف,he was known 
19,بالحاجّ احمد,as El-Hâdj-Ahmed
20,اكبر,the eldest 
21,الاخوة,of […] brothers
22,الثلاثة,three
23,شهروا,who distinguished themselves 
24,علماً,by […] science 
25,وديناً,and piety
26,في,in
27,قطرهم,their country
28,من,0
29,اهل,0
30,الخير,good man
31,والفضل,virtuous
32,والدين,and pious
33,حافظاً على,possessing in his memory 
34,السنّة,the Sonna
35,والمروة,well brought up
36,والصيانه,chaste
37,والتحرّى,distinguished
38,محبًّا,full of love
39,في,for
40,النبى,the Prophet
41,صلّى,0
42,الله,0
43,عليه,0
44,وسلّم,0
45,ملازماً,compelled 
46,لقراءة,to read
47,قصائد,poems 
48,مدحه,in honour of 
49,وشفا,and the Shifa 
50,عياض,of ‘Iyàd
51,على الدوام,constantly 
52,فقيهاً,a jurisconsult
53,لغويًّا,lexicographer
54,نحويًّا,grammarian
55,عروضيًّا,prosodist
56,محصّالاً,scholar
57,اعتنى,was occupied 
58,بالعلم,with science 
59,طول عمره,all his life
60,وكتبه,his books
61,كتب,0
62,عدّة,were numerous
63,كتب,written
64,بخطّه,in his own hand
65,مع,with
66,فوائد,annotations
67,كثيرة,copious 
68,وترك,he left 
69,نحو,about
70,سبعمائة,700
71,مجلّد,volumes
72,اخذ,He had studied 
73,عن,under
74,جدّه,his grandfather
75,لامّه,maternal
76,الفقيه,the jurisconsult 
77,اند غمحمّد,Anda-Ag-Mohammed
78,وعن,and under
79,خاله,his maternal uncle
80,الفقيه,the jurisconsult 
81,مختار,El-Mokhtâr
82,النحوىّ,the grammarian
83,وغيرهما,other masters
84,شرّق,He travelled to the East 
85,في,in
86,عام,year
87,تسعين وثمانمائة,890
88,وحجّ,and made the pilgrimage to Mecca
89,ولقى,he met 
90,الجلال السيوطيّ,El-Jelâl-Es-Soyouti 
91,والشيخ,and Sheikh 
92,خالد الوقاد الازهريّ,Khâled-El-Ouaqqâd-El-Azhari
93,امام,the prince 
94,النحو,of the grammarians
95,وغيرهما,and other characters
96,ورجع,He returned 
97,فى,at the time of 
98,فتنة,the revolt
99,الخارجيّ سن علي,Karedi Sovni-'Ali
100,ودخل,and visited
101,كَنُو,Kano
102,وغيرها,and other
103,من,of
104,بلاد السودان,the Sudan
105,ودرّس,He taught 
106,العلم,theology
107,وافاد,and was successful 
108,وانتفع,benefitted
109,به,from which
110,جمع,0
111,كثير,many people
112,اجلّهم,the most illustrious 
113,الفقيه,the jurisconsult 
114,محمود,Mahmud
115,قرأ,he taught
116,عليه,to whom
117,المدوّنة,the Modaouana 
118,وغيرها,among other things
119,واجتهد,He was […] outstanding 
120,فى,0
121,العلم,scholar
122,درساً,teacher
123,وتحصيلاً,he worked
124,حتّى,until
125,توفّى,his death
126,ليلة الجعة,Thursday evening
127,فى,in
128,ربيع,rebi'
129,الثانى,II
130,عام,year
131,ثلاثة واربعين وتسعمائة,943
132,عن,0
133,نحو,about 
134,ثمانين,80
135,سنة,years
136,وطلب,He was offered
137,للامامة,the position of Imam
138,فابى,he refused it
139,فضلاً عن,as well as
140,غيرها,other
141,-٢٠,0
142,ومن,of
143,مشهور,famous
144,كراماته,his […] miracles
145,انّه,he
146,لمّا,when
147,زار,visited
148,القبر,the […] tomb
149,الشريف,noble
150,طلب,he asked
151,الدخول,to go
152,الى داخله,inside
153,فمنعه,prevented him 
154,الخدّام,The guard 
155,منه,from doing so.
156,فجلس,He then sat 
157,خارجه,outside
158,يمدحه,praise
159,صلّى,0
160,الله,0
161,عليه,0
162,وسلّم,0
163,فانحلّ,opened
164,له,0
165,الباب,the door
166,وحده,by itself 
167,بلا,without
168,سبب,cause
169,فتبادروا,rushed
170,لتقبيل,to kiss
171,يده,his hand
172,هكذا,so
173,سمعت,I have heard
174,الحكاية,story 
175,من,by
176,"جماعته،",several people
177,عبد الله بن عمر بن محمّد اقيت بن عمر بن على بن يحي,Abdallah-ben-'Omar-ben-Mohammed-Aqît ben-'Omar-ben-'Ali-ben-Yahya
178,الصنهاجيّ,the Senhadjian
179,المسوفيّ,the Messoufite
180,شقيق,brother
181,جدّى,of my grandfather
182,المتقدّم,first-born
183,كان,he was
184,فقيهاً,a jurisconsult
185,حافظاً,a scholar
186,زاهداً,an ascetic
187,ورعاً,a modest man
188,وليًّا,a holy man
189,صالحاً,a virtuous man
190,في,of
191,غاية,the greatest
192,الورع,reserve
193,والتوقّى,piety
194,قويّ الحفظ,gifted with an excellent memory
195,درّس,he taught
196,بولاتن,in Oualâten
197,وتوفّى,he died
198,بها,in this city
199,سنة,in the year
200,تسع وعشرين وتسعمائة,929
201,وولد,he was born
202,سنة,0
203,ستّ وستّين وثمانمائة,866
204,له,0
205,"كرامات،",miracles
206,محمود بن عمر بن محمّد اقيت بن عمر بن علي بن يحي,Mahmoud -ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya-ben-Godâla
207,الصنهاجيّ,the Senhadjian
208,التنبكتيّ,the Timbuktu
209,قاضيها,cadi
210,ابو,father
211,الثناء,of praise
212,وابو,0
213,المحاسن,beautiful deeds 
214,عالم,scholar
215,التكرور,of Tekrour
216,وصالحها,saint
217,ومدرّسها,teacher
